	id	treatment	condition	day	bwc	burON	hr	hrv	temp	act
168	Ca_011	Transmitter	Carprofen	16	106.31067961165	NA	NA	NA	NA	NA
169	Ca_011	Transmitter	Carprofen	17	105.825242718447	NA	NA	NA	NA	NA
170	Ca_011	Transmitter	Carprofen	18	107.766990291262	NA	NA	NA	NA	NA
171	Ca_011	Transmitter	Carprofen	19	107.766990291262	NA	NA	NA	NA	NA
172	Ca_011	Transmitter	Carprofen	20	107.766990291262	NA	NA	NA	NA	NA
173	Ca_011	Transmitter	Carprofen	21	108.252427184466	NA	NA	NA	NA	NA
174	Ca_011	Transmitter	Carprofen	22	109.223300970874	NA	NA	NA	NA	NA
175	Ca_011	Transmitter	Carprofen	23	107.766990291262	NA	NA	NA	NA	NA
176	Ca_011	Transmitter	Carprofen	24	110.194174757282	NA	NA	NA	NA	NA
177	Ca_011	Transmitter	Carprofen	25	109.223300970874	NA	NA	NA	NA	NA
178	Ca_011	Transmitter	Carprofen	26	110.679611650485	NA	NA	NA	NA	NA
179	Ca_011	Transmitter	Carprofen	27	108.73786407767	NA	NA	NA	NA	NA
180	Ca_011	Transmitter	Carprofen	28	113.11	NA	426.146788990826	17.8166833333333	36.0811009174312	641.13
181	Ca_013	Transmitter	Carprofen	-1	100	100	433.660550458716	12.5345305555556	36.2785321100917	803.51
182	Ca_013	Transmitter	Carprofen	0	91.8918918918919	31.4854299928927	646	4.04480659340659	36.4533695652174	34.87
183	Ca_013	Transmitter	Carprofen	1	96.2162162162162	72.6293103448276	545.816513761468	7.05972592592593	37.1477064220184	178.18
184	Ca_013	Transmitter	Carprofen	2	96.7567567567567	96.0085531004989	514.495412844037	7.63398518518518	37.0774311926606	154
185	Ca_013	Transmitter	Carprofen	3	95.6756756756757	NA	485.596330275229	7.73696481481481	36.8094495412844	284.06
186	Ca_013	Transmitter	Carprofen	4	98.3783783783784	100	538.192660550459	7.45820277777777	37.015504587156	285.18
187	Ca_013	Transmitter	Carprofen	5	97.2972972972973	NA	476.018348623853	7.78815925925926	36.4278899082569	379.16
188	Ca_013	Transmitter	Carprofen	6	100	NA	NA	NA	NA	NA
189	Ca_013	Transmitter	Carprofen	7	100.540540540541	85.2459016393443	459.770642201835	9.04773611111111	36.4726605504587	498.58
190	Ca_013	Transmitter	Carprofen	8	102.702702702703	NA	NA	NA	NA	NA
191	Ca_013	Transmitter	Carprofen	9	103.243243243243	NA	NA	NA	NA	NA
192	Ca_013	Transmitter	Carprofen	10	102.162162162162	NA	NA	NA	NA	NA
193	Ca_013	Transmitter	Carprofen	11	104.324324324324	NA	NA	NA	NA	NA
194	Ca_013	Transmitter	Carprofen	12	107.567567567568	NA	NA	NA	NA	NA
195	Ca_013	Transmitter	Carprofen	13	108.108108108108	NA	NA	NA	NA	NA
196	Ca_013	Transmitter	Carprofen	14	106.486486486486	NA	439.477064220183	14.1691712962963	36.3459633027523	880.66
197	Ca_013	Transmitter	Carprofen	15	108.108108108108	NA	NA	NA	NA	NA
198	Ca_013	Transmitter	Carprofen	16	110.27027027027	NA	NA	NA	NA	NA
199	Ca_013	Transmitter	Carprofen	17	112.432432432432	NA	NA	NA	NA	NA
200	Ca_013	Transmitter	Carprofen	18	112.432432432432	NA	NA	NA	NA	NA
201	Ca_013	Transmitter	Carprofen	19	108.648648648649	NA	NA	NA	NA	NA
202	Ca_013	Transmitter	Carprofen	20	110.810810810811	NA	NA	NA	NA	NA
203	Ca_013	Transmitter	Carprofen	21	111.891891891892	NA	NA	NA	NA	NA
204	Ca_013	Transmitter	Carprofen	22	112.972972972973	NA	NA	NA	NA	NA
205	Ca_013	Transmitter	Carprofen	23	109.189189189189	NA	NA	NA	NA	NA
206	Ca_013	Transmitter	Carprofen	24	111.891891891892	NA	NA	NA	NA	NA
207	Ca_013	Transmitter	Carprofen	25	103.243243243243	NA	NA	NA	NA	NA
208	Ca_013	Transmitter	Carprofen	26	113.513513513514	NA	NA	NA	NA	NA
209	Ca_013	Transmitter	Carprofen	27	112.432432432432	NA	NA	NA	NA	NA
210	Ca_013	Transmitter	Carprofen	28	112.432432432432	NA	433.660550458716	12.5345305555556	36.2785321100917	803.51
211	TM+B06	Transmitter	Metamizol	-1	100	93.1575196008553	456.229357798165	13.4704321100917	35.5992660550459	591.1
212	TM+B06	Transmitter	Metamizol	0	91.4572864321608	39.4718058529622	584.495652173913	3.27705384615385	34.1033043478261	91.06
213	TM+B06	Transmitter	Metamizol	1	88.9447236180905	74.1058655221745	552.862385321101	5.59559082568807	37.1700917431193	198.46
214	TM+B06	Transmitter	Metamizol	2	87.9396984924623	100	509.201834862385	6.08636880733945	36.9073394495413	305.66
215	TM+B06	Transmitter	Metamizol	3	87.4371859296482	NA	457.422018348624	6.70457155963303	36.2809174311926	322.26
