	id	treatment	condition	day	bwc	hr	hrv	temp	act
203	ID_806	CLP	Endpoint	33	NA	NA	NA	NA	NA
204	ID_806	CLP	Endpoint	34	NA	NA	NA	NA	NA
205	ID_806	CLP	Endpoint	35	NA	NA	NA	NA	NA
206	ID_806	CLP	Endpoint	36	NA	NA	NA	NA	NA
207	ID_806	CLP	Endpoint	37	NA	NA	NA	NA	NA
208	ID_806	CLP	Endpoint	38	NA	NA	NA	NA	NA
209	ID_806	CLP	Endpoint	39	NA	NA	NA	NA	NA
210	ID_806	CLP	Endpoint	40	NA	NA	NA	NA	NA
211	ID_807	Sham	Sham	-1	100	598.2803922	5.551647619	35.33296653	421.0901059
212	ID_807	Sham	Sham	0	NA	468.8333333	10.24429667	35.37181667	203.3307
213	ID_807	Sham	Sham	1	NA	530.0508475	10.61722881	35.64957627	617.4341
214	ID_807	Sham	Sham	2	NA	563.25	7.88363	35.97766667	1252.9847
215	ID_807	Sham	Sham	3	NA	585.9	7.540343333	36.07361667	1125.3338
216	ID_807	Sham	Sham	4	NA	593.15	8.228135	36.25158333	995.3171
217	ID_807	Sham	Sham	5	NA	589.2241379	8.328611667	36.33122034	1041.4367
218	ID_807	Sham	Sham	6	NA	572.6333333	9.080046667	36.23825	860.2678
219	ID_807	Sham	Sham	7	NA	558.4666667	8.841663333	36.39143333	1137.5344
220	ID_807	Sham	Sham	8	NA	591.15	7.765136667	36.09281667	801.3158
221	ID_807	Sham	Sham	9	NA	584.0166667	7.995513333	35.992	889.4082
222	ID_807	Sham	Sham	10	NA	616.85	6.843086667	35.65895	1042.9045
223	ID_807	Sham	Sham	11	NA	579.95	7.850585	35.7915	641.819
224	ID_807	Sham	Sham	12	NA	598.1166667	7.218271667	35.71188333	1062.3155
225	ID_807	Sham	Sham	13	NA	554.4666667	8.51311	35.57986667	415.7459
226	ID_807	Sham	Sham	14	NA	524.85	10.82245	35.39301667	247.5885
227	ID_807	Sham	Sham	15	NA	535.7	8.586578333	34.96893333	43.5568
228	ID_807	Sham	Sham	16	97.17741935	548.9482759	7.989905085	34.90238983	748.3729
229	ID_807	Sham	Sham	17	NA	490.8166667	10.67579333	34.83416667	284.9094
230	ID_807	Sham	Sham	18	NA	496.3	11.79905833	34.71045	329.3436
231	ID_807	Sham	Sham	19	NA	490.9830508	10.13935333	34.87633333	534.2863
232	ID_807	Sham	Sham	20	NA	508.95	8.469438333	34.95525	87.188
233	ID_807	Sham	Sham	21	NA	515.1864407	8.983268333	34.76973333	485.8342
234	ID_807	Sham	Sham	22	NA	510.0333333	7.221506667	34.78495	16.4855
235	ID_807	Sham	Sham	23	NA	564.1864407	7.287876667	34.79615	330.1244
236	ID_807	Sham	Sham	24	NA	506.6833333	10.90937	35.38245	486.7512
237	ID_807	Sham	Sham	25	NA	523.2833333	9.092645	35.04436667	487.5733
238	ID_807	Sham	Sham	26	NA	538.8833333	9.309281667	35.25766667	1028.8564
239	ID_807	Sham	Sham	27	NA	580.25	7.994126667	35.414	1083.652
240	ID_807	Sham	Sham	28	NA	570.0833333	7.858691667	35.17981667	855.5725
241	ID_807	Sham	Sham	29	NA	535.2413793	10.67397627	35.091	443.2431
242	ID_807	Sham	Sham	30	NA	533.75	11.24865333	35.32815	577.0328
243	ID_807	Sham	Sham	31	NA	532.6833333	11.646845	35.43981667	605.7998
244	ID_807	Sham	Sham	32	NA	553.85	9.246356667	35.79463333	388.7991
245	ID_807	Sham	Sham	33	NA	565.2	8.713511667	35.56768333	730.1691
246	ID_807	Sham	Sham	34	NA	594.7457627	7.980723333	35.25861667	1388.2279
247	ID_807	Sham	Sham	35	NA	595.5166667	7.821721667	34.98526667	427.7001
248	ID_807	Sham	Sham	36	NA	578.5166667	8.205726667	35.24598333	252.6119
249	ID_807	Sham	Sham	37	NA	575.2166667	8.802433333	35.42636667	412.8504
250	ID_807	Sham	Sham	38	NA	538.7166667	9.138681667	34.8856	162.9387
251	ID_807	Sham	Sham	39	NA	552.2833333	8.479631667	34.77025	120.7514
252	ID_807	Sham	Sham	40	95.96774194	542.5789474	7.845328947	35.01439474	55.7268
253	ID_808	CLP	Survivor	-1	100	592.0086835	5.099842997	34.6755042	446.4988412
254	ID_808	CLP	Survivor	0	NA	604.9333333	2.323358333	33.44841667	40.9517
255	ID_808	CLP	Survivor	1	NA	567.8596491	3.791749153	34.0555	317.0305
256	ID_808	CLP	Survivor	2	NA	548.8166667	4.269371667	34.27855	276.1832
257	ID_808	CLP	Survivor	3	NA	557.0166667	3.980103333	33.93891667	287.7549
258	ID_808	CLP	Survivor	4	NA	567.3	3.75592	33.92005	211.2868
259	ID_808	CLP	Survivor	5	NA	557.8135593	4.345381356	33.80866102	252.4474
260	ID_808	CLP	Survivor	6	NA	546.7627119	4.87404	34.13148333	277.6088
261	ID_808	CLP	Survivor	7	NA	534.2333333	5.63449	34.06563333	193.9889
262	ID_808	CLP	Survivor	8	NA	534.3833333	5.390935	33.76011667	515.4572
263	ID_808	CLP	Survivor	9	NA	552.25	3.710876667	33.62268333	29.4906
264	ID_808	CLP	Survivor	10	NA	540.8166667	3.533106667	33.85385	31.4005
265	ID_808	CLP	Survivor	11	NA	530.5	3.673093333	33.888	100.8625
266	ID_808	CLP	Survivor	12	NA	524.3	3.69087	33.61991667	73.4877
267	ID_808	CLP	Survivor	13	NA	539.6666667	3.452508333	33.69301667	354.0256
268	ID_808	CLP	Survivor	14	NA	541.7	3.237213333	34.0235	128.8752
269	ID_808	CLP	Survivor	15	NA	527.1833333	2.902438333	33.98778333	53.7114
270	ID_808	CLP	Survivor	16	93.6329588	525.0172414	4.2793	33.92035593	109.9246
271	ID_808	CLP	Survivor	17	NA	511	5.683265	34.32243333	159.9847
272	ID_808	CLP	Survivor	18	NA	507.6833333	4.731126667	34.30816667	11.419
273	ID_808	CLP	Survivor	19	NA	539.637931	4.176050847	33.95950847	281.7203
274	ID_808	CLP	Survivor	20	NA	536.0833333	4.433256667	34.04485	80.2022
275	ID_808	CLP	Survivor	21	NA	553.1551724	3.445174576	33.92291525	160.1421
276	ID_808	CLP	Survivor	22	NA	547.9166667	2.963591667	34.31471667	21.2704
277	ID_808	CLP	Survivor	23	NA	546.8474576	3.489375	34.0251	93.0938
278	ID_808	CLP	Survivor	24	NA	536.1833333	4.737978333	34.40726667	156.3319
279	ID_808	CLP	Survivor	25	NA	541.2166667	4.24469	34.44561667	129.8635
280	ID_808	CLP	Survivor	26	NA	553.45	3.551065	34.43098333	95.2231
281	ID_808	CLP	Survivor	27	NA	538.4666667	3.550575	34.47166667	162.0355
282	ID_808	CLP	Survivor	28	NA	553.45	2.871951667	34.23198333	52.5795
283	ID_808	CLP	Survivor	29	NA	561.0169492	3.421911667	34.20375	456.4116
284	ID_808	CLP	Survivor	30	NA	541.6166667	4.657373333	34.7192	470.5072
285	ID_808	CLP	Survivor	31	NA	552.7166667	4.028711667	34.60573333	55.8862
286	ID_808	CLP	Survivor	32	NA	572.3833333	3.057676667	34.70581667	90.9575
287	ID_808	CLP	Survivor	33	NA	600.9	2.210288333	34.40103333	379.1548
288	ID_808	CLP	Survivor	34	NA	572.1186441	3.17841	34.4538	160.1904
289	ID_808	CLP	Survivor	35	NA	554.9666667	4.470728333	34.6471	330.7347
290	ID_808	CLP	Survivor	36	NA	561.3333333	3.508468333	34.485	152.9386
291	ID_808	CLP	Survivor	37	NA	572.7166667	3.27567	34.6802	93.7742
292	ID_808	CLP	Survivor	38	NA	576.5833333	2.987451667	34.40843333	206.4404
293	ID_808	CLP	Survivor	39	NA	571.7	2.662611667	34.34766667	105.992
294	ID_808	CLP	Survivor	40	87.64044944	577.0789474	2.516457895	34.34176316	87.8256
